2026-03-10 12:50 - CPU_TEMP [Min:43.0 Max:46.9] | CPU_USAGE [Min:37.1 Max:47.3] | RAM_USAGE [Min:24.3 Max:27.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:51 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:36.8 Max:43.5] | RAM_USAGE [Min:24.4 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:52 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:36.8 Max:45.3] | RAM_USAGE [Min:24.3 Max:27.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.4]
2026-03-10 12:53 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.8 Max:47.5] | RAM_USAGE [Min:24.4 Max:28.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:54 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:36.5 Max:44.0] | RAM_USAGE [Min:24.5 Max:27.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:55 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:37.1 Max:45.9] | RAM_USAGE [Min:24.4 Max:27.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 12:56 - CPU_TEMP [Min:43.0 Max:46.3] | CPU_USAGE [Min:36.8 Max:43.4] | RAM_USAGE [Min:24.4 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 12:57 - CPU_TEMP [Min:43.5 Max:46.3] | CPU_USAGE [Min:36.8 Max:43.4] | RAM_USAGE [Min:24.4 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.6 Max:20.5]
2026-03-10 12:58 - CPU_TEMP [Min:43.5 Max:46.3] | CPU_USAGE [Min:36.9 Max:47.3] | RAM_USAGE [Min:24.5 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.1]
2026-03-10 12:59 - CPU_TEMP [Min:43.5 Max:46.3] | CPU_USAGE [Min:36.1 Max:46.4] | RAM_USAGE [Min:24.4 Max:28.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
